Roll_Rate_x	Pitch_Rate_y	Yaw_Rate_z	Latitude	Longitude	Altidude	Barometric_Pressure	a_x	a_y	a_z	Heading	v_x	v_y	v_z	Status	PosU	VelU	PITCH	ROLL	YAW
0.0	0.0	0.0	0.0	0.0	0.0	0.0032064	0.048	0.016	-9.334	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.57000000000001
0.0	0.0	0.0	0.0	0.0	0.0	0.0006527999999999999	0.048	0.018000000000000002	-9.331	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.57000000000001
0.0	0.0	0.001	0.0	0.0	0.0	-0.0013503999999999999	0.054	0.021	-9.324	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.34	-0.09	65.57000000000001
0.0	0.0	0.0	0.0	0.0	0.0	0.0006527999999999999	0.06	0.01	-9.313	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.34	-0.09	65.57000000000001
0.0	0.001	0.0	0.0	0.0	0.0	-0.0027968	0.015	0.073	-8.535	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.34	-0.1	65.58
0.004	0.034	0.015	0.0	0.0	0.0	0.0006527999999999999	0.642	-0.057	-10.66	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.32	-0.11	65.59
-0.073	-0.17500000000000002	0.074	0.0	0.0	0.0	0.0032064	-0.316	0.275	-8.624	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.37	-0.08	65.6
0.057	0.11900000000000001	-0.042	0.0	0.0	0.0	-0.0019072	-0.026000000000000002	0.044	-9.274000000000001	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.36	-0.09	65.59
-0.009000000000000001	-0.016	-0.009000000000000001	0.0	0.0	0.0	0.0026496	-0.168	0.036000000000000004	-9.456	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.6
0.005	0.01	0.018000000000000002	0.0	0.0	0.0	0.0026496	0.14	-0.007	-9.304	-1.27	0.0	0.0	0.0	128	0.0	0.0	0.35000000000000003	-0.09	65.6
-0.002	-0.005	0.0	0.0	0.0	0.0	0.0020992	0.011	0.011	-9.375	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.36	-0.09	65.6
0.0	-0.004	0.005	0.0	0.0	0.0	0.0006527999999999999	-0.015	0.039	-9.378	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.36	-0.09	65.6
0.005	0.012	0.007	0.0	0.0	0.0	0.0026496	0.083	0.022	-9.288	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.37	-0.09	65.6
0.0	0.0	0.005	0.0	0.0	0.0	0.0006527999999999999	0.045	0.014	-9.431000000000001	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.32	-0.08	65.61
0.006	-0.127	0.014	0.0	0.0	0.0	0.0006527999999999999	0.20600000000000002	0.811	-11.304	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.37	-0.09	65.6
-0.061	-0.145	-0.023	0.0	0.0	0.0	0.000544	0.263	-0.167	-8.754	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
0.033	0.082	0.018000000000000002	0.0	0.0	0.0	0.0025407999999999997	0.382	-0.394	-9.61	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.37	-0.09	65.61
-0.012	-0.024	-0.015	0.0	0.0	0.0	0.0026496	-0.133	0.061	-9.664	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.61
-0.009000000000000001	-0.023	-0.009000000000000001	0.0	0.0	0.0	-0.0013503999999999999	0.067	0.085	-9.224	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.61
0.008	0.011	0.01	0.0	0.0	0.0	0.0020992	0.01	-0.017	-9.258000000000001	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.61
0.008	0.015	0.002	0.0	0.0	0.0	0.0026496	-0.004	-0.057	-9.225	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
0.004	0.012	0.009000000000000001	0.0	0.0	0.0	-0.0013503999999999999	0.076	0.0	-9.262	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
0.001	0.004	0.003	0.0	0.0	0.0	0.000544	0.091	-0.014	-9.349	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
0.006	0.016	0.008	0.0	0.0	0.0	0.0026496	0.085	0.007	-9.342	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
-0.004	-0.012	0.0	0.0	0.0	0.0	-0.0027968	0.058	-0.02	-9.339	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
0.0	-0.008	-0.002	0.0	0.0	0.0	-0.0027968	0.054	-0.012	-9.295	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
